date,pm2_5,pm10,no2,co
2023-01-01 03:00:00,252.9,304.12,44.55,3150.94
2023-01-01 04:00:00,266.36,322.8,45.24,3471.37
2023-01-01 05:00:00,276.54,336.79,55.52,3578.19
2023-01-01 06:00:00,295.4,357.07,76.09,3578.19
2023-01-01 11:00:00,298.82,366.6,119.27,4325.87
2023-01-01 12:00:00,385.41,474.7,127.49,6141.66
2023-01-01 13:00:00,493.18,603.98,137.09,8010.86
2023-01-01 14:00:00,608.62,742.76,142.57,9506.23
2023-01-01 15:00:00,689.94,840.91,143.95,10253.91
2023-01-01 16:00:00,743.91,904.27,146.69,10574.34
2023-01-01 17:00:00,811.4,981.17,152.17,11322.02
2023-01-01 18:00:00,834.55,1006.18,149.43,11535.64
2023-01-01 19:00:00,791.61,952.0,139.83,10894.78
2023-01-01 20:00:00,758.44,911.29,130.24,10147.09
2023-01-01 21:00:00,722.3,867.55,120.64,9185.79
2023-01-01 22:00:00,646.22,778.21,100.08,7797.24
2023-01-01 23:00:00,583.03,700.01,80.88,6622.31
2023-01-02 00:00:00,577.03,682.86,68.55,6301.88
2023-01-02 01:00:00,643.62,752.31,62.38,7049.56
2023-01-02 02:00:00,807.13,944.78,62.38,9292.6
2023-01-02 03:00:00,940.49,1100.6,68.55,11428.83
2023-01-02 04:00:00,786.89,919.22,82.25,9506.23
2023-01-02 05:00:00,802.84,939.02,116.53,9613.04
2023-01-02 06:00:00,887.45,1025.58,202.89,10147.09
2023-01-02 07:00:00,303.33,342.39,105.56,2456.67
2023-01-02 09:00:00,253.57,287.63,84.31,1895.9
2023-01-02 10:00:00,368.12,431.92,131.61,3631.59
2023-01-02 11:00:00,537.38,644.87,160.4,6355.29
2023-01-02 12:00:00,688.83,835.43,165.88,9078.98
2023-01-02 13:00:00,838.72,1020.61,175.48,11428.83
2023-01-02 14:00:00,947.07,1158.61,172.73,12283.33
2023-01-02 15:00:00,984.28,1208.75,159.03,11962.89
2023-01-02 16:00:00,980.05,1200.7,142.57,11001.59
2023-01-02 17:00:00,967.81,1180.92,126.12,10360.72
2023-01-02 18:00:00,891.85,1086.25,109.67,9078.98
2023-01-02 19:00:00,775.74,934.68,93.22,7370.0
2023-01-02 20:00:00,695.45,826.41,80.2,6088.26
2023-01-02 21:00:00,637.53,746.12,69.92,5180.36
2023-01-02 22:00:00,602.85,697.48,63.06,4699.71
2023-01-02 23:00:00,598.74,686.91,58.95,4592.9
2023-01-03 00:00:00,611.98,699.29,56.89,4806.52
2023-01-03 01:00:00,666.55,760.43,56.89,5607.6
2023-01-03 02:00:00,813.7,932.78,61.69,7904.05
2023-01-03 03:00:00,940.67,1054.16,73.34,10253.91
2023-01-03 04:00:00,644.99,710.12,100.08,6568.91
2023-01-03 05:00:00,614.36,684.18,100.08,6355.29
2023-01-03 06:00:00,612.99,688.4,122.01,6248.47
